timestamp,kw_energy_consumption,category
datetime,float,int
T,,
2007-02-10 0:00:00,21.2,1
2007-02-10 1:00:00,16.4,0
2007-02-10 2:00:00,4.7,0
2007-02-10 3:00:00,4.7,0
2007-02-10 4:00:00,4.6,0
2007-02-10 5:00:00,23.5,1
2007-02-10 6:00:00,47.5,1
2007-02-10 7:00:00,45.4,1
2007-02-10 8:00:00,46.1,1
2007-02-10 9:00:00,41.5,1
2007-02-10 10:00:00,43.4,1
2007-02-10 11:00:00,43.8,1
2007-02-10 12:00:00,37.8,1
2007-02-10 13:00:00,36.6,1
2007-02-10 14:00:00,35.7,1
2007-02-10 15:00:00,38.9,1
2007-02-10 16:00:00,36.2,1
2007-02-10 17:00:00,36.6,1
2007-02-10 18:00:00,37.2,1
2007-02-10 19:00:00,38.2,1
2007-02-10 20:00:00,14.1,0
2007-02-10 21:00:00,5.1,0
2007-02-10 22:00:00,5,0
2007-02-10 23:00:00,5.9,0
2007-02-11 0:00:00,22.5,1
2007-02-11 1:00:00,22.3,1
2007-02-11 2:00:00,6,0
2007-02-11 3:00:00,4.7,0
2007-02-11 4:00:00,4.4,0
2007-02-11 5:00:00,4.8,0
2007-02-11 6:00:00,23.4,1
2007-02-11 7:00:00,42.4,1
2007-02-11 8:00:00,52,1
2007-02-11 9:00:00,50.8,1
2007-02-11 10:00:00,45.3,1
2007-02-11 11:00:00,43.6,1
2007-02-11 12:00:00,40.7,1
2007-02-11 13:00:00,38.4,1
2007-02-11 14:00:00,39.9,1
2007-02-11 15:00:00,42.8,1
2007-02-11 16:00:00,42.2,1
2007-02-11 17:00:00,28.6,1
2007-02-11 18:00:00,11.6,0
2007-02-11 19:00:00,5.3,0
2007-02-11 20:00:00,5.4,0
2007-02-11 21:00:00,5.4,0
2007-02-11 22:00:00,5.4,0
2007-02-11 23:00:00,13.7,0
2007-02-12 0:00:00,22.2,1
2007-02-12 1:00:00,13.5,0
2007-02-12 2:00:00,5,0
2007-02-12 3:00:00,4.9,0
2007-02-12 4:00:00,4.9,0
2007-02-12 5:00:00,5,0
2007-02-12 6:00:00,5.2,0
2007-02-12 7:00:00,5.6,0
2007-02-12 8:00:00,42.9,1
2007-02-12 9:00:00,50.3,1
2007-02-12 10:00:00,43.5,1
2007-02-12 11:00:00,37.1,1
2007-02-12 12:00:00,38.7,1
2007-02-12 13:00:00,37.1,1
2007-02-12 14:00:00,40,1
2007-02-12 15:00:00,44.1,1
2007-02-12 16:00:00,39.3,1
2007-02-12 17:00:00,26.1,1
2007-02-12 18:00:00,9.9,0
2007-02-12 19:00:00,5.4,0
2007-02-12 20:00:00,5.5,0
2007-02-12 21:00:00,5.3,0
2007-02-12 22:00:00,5.3,0
2007-02-12 23:00:00,17.8,0
2007-02-13 0:00:00,22.4,1
2007-02-13 1:00:00,7.8,0
2007-02-13 2:00:00,4.7,0
2007-02-13 3:00:00,4.7,0
2007-02-13 4:00:00,4.7,0
2007-02-13 5:00:00,22.9,1
2007-02-13 6:00:00,46.5,1
2007-02-13 7:00:00,37.4,1
2007-02-13 8:00:00,38.8,1
2007-02-13 9:00:00,41.8,1
2007-02-13 10:00:00,43.5,1
2007-02-13 11:00:00,44.1,1
2007-02-13 12:00:00,38.7,1
2007-02-13 13:00:00,38.9,1
2007-02-13 14:00:00,37.9,1
2007-02-13 15:00:00,36.6,1
2007-02-13 16:00:00,39.6,1
2007-02-13 17:00:00,38.5,1
2007-02-13 18:00:00,44.8,1
2007-02-13 19:00:00,46.9,1
2007-02-13 20:00:00,38.2,1
2007-02-13 21:00:00,29.8,1
2007-02-13 22:00:00,5.4,0
2007-02-13 23:00:00,10.7,0
2007-02-14 0:00:00,22.1,1
2007-02-14 1:00:00,12.8,0
2007-02-14 2:00:00,4.7,0
2007-02-14 3:00:00,4.6,0
2007-02-14 4:00:00,4.6,0
2007-02-14 5:00:00,22.3,1
2007-02-14 6:00:00,42.5,1
2007-02-14 7:00:00,39,1
2007-02-14 8:00:00,38.2,1
2007-02-14 9:00:00,40.2,1
2007-02-14 10:00:00,44.2,1
2007-02-14 11:00:00,41.1,1
2007-02-14 12:00:00,40.5,1
2007-02-14 13:00:00,40,1
2007-02-14 14:00:00,39.1,1
2007-02-14 15:00:00,39.1,1
2007-02-14 16:00:00,37.2,1
2007-02-14 17:00:00,40.8,1
2007-02-14 18:00:00,40.1,1
2007-02-14 19:00:00,43.5,1
2007-02-14 20:00:00,36.9,1
2007-02-14 21:00:00,33.4,1
2007-02-14 22:00:00,7,0
